"Package","Version","Assembly","DotNetFramework"
"devexpress.mvvm","16.2.8","DevExpress.Mvvm.v16.2.dll","Any,Version=v0.0"
"devexpress.document.processor","16.2.8","DevExpress.Docs.v16.2.dll","Any,Version=v0.0"
"devexpress.document.processor","16.2.8","DevExpress.Pdf.v16.2.Drawing.dll","Any,Version=v0.0"
"devexpress.document.processor","16.2.8","DevExpress.Snap.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.reporting.core","16.2.8","DevExpress.XtraReports.v16.2.dll","Any,Version=v0.0"
"devexpress.web.bootstrap","16.2.8","DevExpress.Web.Bootstrap.v16.2.dll","Any,Version=v0.0"
"devexpress.web.mvc.dashboard","16.2.8","DevExpress.Dashboard.v16.2.Web.Mvc.dll","Any,Version=v0.0"
"devexpress.web.mvc","16.2.8","DevExpress.Web.Mvc.v16.2.dll","Any,Version=v0.0"
"devexpress.web.mvc5.dashboard","16.2.8","DevExpress.Dashboard.v16.2.Web.Mvc5.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.8","DevExpress.Dashboard.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.mvc5","16.2.8","DevExpress.Web.Mvc5.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.8","DevExpress.Web.ASPxHtmlEditor.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.8","DevExpress.Web.ASPxPivotGrid.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.8","DevExpress.Web.ASPxSpellChecker.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.8","DevExpress.Web.ASPxTreeList.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.8","DevExpress.Web.Resources.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.8","DevExpress.Web.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.8","DevExpress.XtraReports.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.scheduler","16.2.8","DevExpress.Web.ASPxScheduler.v16.2.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.8","DevExpress.Web.ASPxRichEdit.v16.2.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.8","DevExpress.Web.ASPxSpreadsheet.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.8","DevExpress.Web.ASPxGauges.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.8","DevExpress.XtraCharts.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.themes","16.2.8","DevExpress.Web.ASPxThemes.v16.2.dll","Any,Version=v0.0"
"devexpress.win.diagram","16.2.8","DevExpress.Diagram.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.win.diagram","16.2.8","DevExpress.XtraDiagram.v16.2.dll","Any,Version=v0.0"
"devexpress.win.dashboard","16.2.8","DevExpress.Dashboard.v16.2.Win.dll","Any,Version=v0.0"
"devexpress.win.map","16.2.8","DevExpress.Map.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.win.map","16.2.8","DevExpress.XtraMap.v16.2.dll","Any,Version=v0.0"
"devexpress.win.reporting","16.2.8","DevExpress.XtraReports.v16.2.Extensions.dll","Any,Version=v0.0"
"devexpress.win.scheduler","16.2.8","DevExpress.XtraScheduler.v16.2.dll","Any,Version=v0.0"
"devexpress.win.scheduler","16.2.8","DevExpress.XtraScheduler.v16.2.Extensions.dll","Any,Version=v0.0"
"devexpress.win.richedit","16.2.8","DevExpress.XtraRichEdit.v16.2.dll","Any,Version=v0.0"
"devexpress.win.richedit","16.2.8","DevExpress.XtraRichEdit.v16.2.Extensions.dll","Any,Version=v0.0"
"devexpress.win.bonusskins","16.2.8","DevExpress.BonusSkins.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.Images.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraBars.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraEditors.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraGrid.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraLayout.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraNavBar.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraPivotGrid.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraPrinting.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraTreeList.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraVerticalGrid.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.8","DevExpress.XtraWizard.v16.2.dll","Any,Version=v0.0"
"devexpress.win.spellchecker","16.2.8","DevExpress.XtraSpellChecker.v16.2.dll","Any,Version=v0.0"
"devexpress.win.spreadsheet","16.2.8","DevExpress.XtraSpreadsheet.v16.2.dll","Any,Version=v0.0"
"devexpress.xpo","16.2.8","DevExpress.Xpo.v16.2.dll","Any,Version=v0.0"
