#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","DotNetFramework"
"devexpress.aspnetcore.bootstrap","18.1.6","DevExpress.AspNetCore.Bootstrap.v18.1",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.dashboard","18.1.6","DevExpress.Dashboard.v18.1.AspNetCore",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core","18.1.6","DevExpress.AspNetCore.Scheduler.Core.v18.1",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.es","18.1.6","DevExpress.AspNetCore.Scheduler.Core.v18.1.resources",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.ru","18.1.6","DevExpress.AspNetCore.Scheduler.Core.v18.1.resources",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.de","18.1.6","DevExpress.AspNetCore.Scheduler.Core.v18.1.resources",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.resources","18.1.6","DevExpress.AspNetCore.Resources.v18.1",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.ja","18.1.6","DevExpress.AspNetCore.Scheduler.Core.v18.1.resources",".NETStandard,Version=v2.0"
"devexpress.document.processor","18.1.6","DevExpress.Docs.v18.1",".NETFramework,Version=v4.0"
"devexpress.codeparser","18.1.6","DevExpress.CodeParser.v18.1",".NETFramework,Version=v4.0"
"devexpress.codeparser","18.1.6","DevExpress.CodeParser.v18.1",".NETStandard,Version=v2.0"
"devexpress.mvvm","18.1.6","DevExpress.Mvvm.v18.1",".NETFramework,Version=v4.0"
"devexpress.reporting.core","18.1.6","DevExpress.XtraReports.v18.1",".NETFramework,Version=v4.0"
"devexpress.reporting.core","18.1.6","DevExpress.XtraReports.v18.1",".NETStandard,Version=v2.0"
"devexpress.reporting.core.es","18.1.6","DevExpress.XtraReports.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.reporting.core.es","18.1.6","DevExpress.XtraReports.v18.1.resources",".NETStandard,Version=v2.0"
"devexpress.images","18.1.6","DevExpress.Images.v18.1",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ru","18.1.6","DevExpress.XtraReports.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ru","18.1.6","DevExpress.XtraReports.v18.1.resources",".NETStandard,Version=v2.0"
"devexpress.richedit.export","18.1.6","DevExpress.RichEdit.v18.1.Export",".NETFramework,Version=v4.0"
"devexpress.richedit.export","18.1.6","DevExpress.RichEdit.v18.1.Export",".NETStandard,Version=v2.0"
"devexpress.pdf.drawing","18.1.6","DevExpress.Pdf.v18.1.Drawing",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core.de","18.1.6","DevExpress.Mvvm.v18.1.DataModel.resources",".NETFramework,Version=v4.0"
"devexpress.reporting.core.de","18.1.6","DevExpress.XtraReports.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.reporting.core.de","18.1.6","DevExpress.XtraReports.v18.1.resources",".NETStandard,Version=v2.0"
"devexpress.scaffolding.core.ja","18.1.6","DevExpress.Mvvm.v18.1.DataModel.resources",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ja","18.1.6","DevExpress.XtraReports.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ja","18.1.6","DevExpress.XtraReports.v18.1.resources",".NETStandard,Version=v2.0"
"devexpress.scaffolding.ef6","18.1.6","DevExpress.Mvvm.v18.1.DataModel.EF6",".NETFramework,Version=v4.0"
"devexpress.reporting.wcf","18.1.6","DevExpress.XtraReports.v18.1.Service",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core","18.1.6","DevExpress.Mvvm.v18.1.DataModel",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core","18.1.6","DevExpress.Mvvm.v18.1.ViewModel",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core.es","18.1.6","DevExpress.Mvvm.v18.1.DataModel.resources",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core.ru","18.1.6","DevExpress.Mvvm.v18.1.DataModel.resources",".NETFramework,Version=v4.0"
"devexpress.scaffolding.wcf","18.1.6","DevExpress.Mvvm.v18.1.DataModel.WCF",".NETFramework,Version=v4.0"
"devexpress.scaffolding.efcore","18.1.6","DevExpress.Mvvm.v18.1.DataModel.EFCore",".NETFramework,Version=v4.0"
"devexpress.web.bootstrap","18.1.6","DevExpress.Web.Bootstrap.v18.1",".NETFramework,Version=v4.0"
