"Package","Assembly","DotNetFramework"
"devexpress.aspnetcore.dashboard","DevExpress.Dashboard.v18.1.AspNetCore.dll",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.bootstrap","DevExpress.AspNetCore.Bootstrap.v18.1.dll",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.de","DevExpress.AspNetCore.Scheduler.Core.v18.1.resources.dll",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.resources","DevExpress.AspNetCore.Resources.v18.1.dll",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core","DevExpress.AspNetCore.Scheduler.Core.v18.1.dll",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.ja","DevExpress.AspNetCore.Scheduler.Core.v18.1.resources.dll",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.es","DevExpress.AspNetCore.Scheduler.Core.v18.1.resources.dll",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.ru","DevExpress.AspNetCore.Scheduler.Core.v18.1.resources.dll",".NETStandard,Version=v2.0"
"devexpress.codeparser","DevExpress.CodeParser.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.codeparser","DevExpress.CodeParser.v18.1.dll",".NETStandard,Version=v2.0"
"devexpress.document.processor","DevExpress.Docs.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.mvvm","DevExpress.Mvvm.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.images","DevExpress.Images.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.pdf.drawing","DevExpress.Pdf.v18.1.Drawing.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.de","DevExpress.XtraReports.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.de","DevExpress.XtraReports.v18.1.resources.dll",".NETStandard,Version=v2.0"
"devexpress.reporting.core.es","DevExpress.XtraReports.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.es","DevExpress.XtraReports.v18.1.resources.dll",".NETStandard,Version=v2.0"
"devexpress.reporting.core","DevExpress.XtraReports.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core","DevExpress.XtraReports.v18.1.dll",".NETStandard,Version=v2.0"
"devexpress.reporting.core.ja","DevExpress.XtraReports.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ja","DevExpress.XtraReports.v18.1.resources.dll",".NETStandard,Version=v2.0"
"devexpress.reporting.core.ru","DevExpress.XtraReports.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ru","DevExpress.XtraReports.v18.1.resources.dll",".NETStandard,Version=v2.0"
"devexpress.reporting.wcf","DevExpress.XtraReports.v18.1.Service.dll",".NETFramework,Version=v4.0"
"devexpress.richedit.export","DevExpress.RichEdit.v18.1.Export.dll",".NETFramework,Version=v4.0"
"devexpress.richedit.export","DevExpress.RichEdit.v18.1.Export.dll",".NETStandard,Version=v2.0"
"devexpress.scaffolding.core.de","DevExpress.Mvvm.v18.1.DataModel.resources.dll",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core","DevExpress.Mvvm.v18.1.DataModel.dll",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core","DevExpress.Mvvm.v18.1.ViewModel.dll",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core.es","DevExpress.Mvvm.v18.1.DataModel.resources.dll",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core.ja","DevExpress.Mvvm.v18.1.DataModel.resources.dll",".NETFramework,Version=v4.0"
"devexpress.scaffolding.core.ru","DevExpress.Mvvm.v18.1.DataModel.resources.dll",".NETFramework,Version=v4.0"
"devexpress.scaffolding.ef6","DevExpress.Mvvm.v18.1.DataModel.EF6.dll",".NETFramework,Version=v4.0"
"devexpress.scaffolding.efcore","DevExpress.Mvvm.v18.1.DataModel.EFCore.dll",".NETFramework,Version=v4.0"
"devexpress.scaffolding.wcf","DevExpress.Mvvm.v18.1.DataModel.WCF.dll",".NETFramework,Version=v4.0"
"devexpress.web.bootstrap","DevExpress.Web.Bootstrap.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.common.es","DevExpress.Dashboard.v18.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.common.es","DevExpress.Dashboard.v18.1.Web.resources.dll",".NETStandard,Version=v2.0"
"devexpress.web.dashboard.common","DevExpress.Dashboard.v18.1.Web.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.common","DevExpress.Dashboard.v18.1.Web.dll",".NETStandard,Version=v2.0"
"devexpress.web.dashboard.common.ru","DevExpress.Dashboard.v18.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.common.ru","DevExpress.Dashboard.v18.1.Web.resources.dll",".NETStandard,Version=v2.0"
"devexpress.web.dashboard","DevExpress.Dashboard.v18.1.Web.WebForms.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.common.de","DevExpress.Dashboard.v18.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.common.de","DevExpress.Dashboard.v18.1.Web.resources.dll",".NETStandard,Version=v2.0"
"devexpress.web.es","DevExpress.Web.ASPxHtmlEditor.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","DevExpress.Web.ASPxSpellChecker.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","DevExpress.Web.ASPxTreeList.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","DevExpress.Web.Resources.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","DevExpress.Web.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.common.ja","DevExpress.Dashboard.v18.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.common.ja","DevExpress.Dashboard.v18.1.Web.resources.dll",".NETStandard,Version=v2.0"
"devexpress.web","DevExpress.Web.ASPxHtmlEditor.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.ASPxPivotGrid.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.ASPxSpellChecker.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.ASPxTreeList.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.Resources.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc","DevExpress.Web.Mvc.v18.1.dll",".NETFramework,Version=v4.0"
