#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly"
"DevExpress.AspNetCore.Bootstrap","18.2.4","DevExpress.AspNetCore.Bootstrap.v18.2"
"DevExpress.AspNetCore.Bootstrap.Render","18.2.4","DevExpress.AspNetCore.Bootstrap.Render.v18.2"
"DevExpress.AspNetCore.Common","18.2.4","DevExpress.AspNetCore.Common.v18.2"
"DevExpress.AspNetCore.Core","18.2.4","DevExpress.AspNetCore.Core.v18.2"
"DevExpress.AspNetCore.Core.de","18.2.4","DevExpress.AspNetCore.Core.v18.2.resources"
"DevExpress.AspNetCore.Core.es","18.2.4","DevExpress.AspNetCore.Core.v18.2.resources"
"DevExpress.AspNetCore.Core.ja","18.2.4","DevExpress.AspNetCore.Core.v18.2.resources"
"DevExpress.AspNetCore.Core.ru","18.2.4","DevExpress.AspNetCore.Core.v18.2.resources"
"DevExpress.AspNetCore.Dashboard","18.2.4","DevExpress.Dashboard.v18.2.AspNetCore"
"DevExpress.AspNetCore.DemoData","18.2.4","DevExpress.AspNetCore.DemoData.v18.2"
"DevExpress.AspNetCore.Reporting","18.2.4","DevExpress.AspNetCore.Reporting.v18.2"
"DevExpress.AspNetCore.Resources","18.2.4","DevExpress.AspNetCore.Resources.v18.2"
"DevExpress.AspNetCore.RichEdit.-ctp","18.2.4","DevExpress.AspNetCore.RichEdit.v18.2"
"DevExpress.AspNetCore.Scheduler.Core","18.2.4","DevExpress.AspNetCore.Scheduler.Core.v18.2"
"DevExpress.AspNetCore.Scheduler.Core.de","18.2.4","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources"
"DevExpress.AspNetCore.Scheduler.Core.es","18.2.4","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources"
"DevExpress.AspNetCore.Scheduler.Core.ja","18.2.4","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources"
"DevExpress.AspNetCore.Scheduler.Core.ru","18.2.4","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources"
"DevExpress.AspNetCore.Spreadsheet.-ctp","18.2.4","DevExpress.AspNetCore.Spreadsheet.v18.2"
"DevExpress.Charts","18.2.4","DevExpress.XtraCharts.v18.2"
"DevExpress.Charts","18.2.4","DevExpress.XtraCharts.v18.2"
"DevExpress.Charts.Core","18.2.4","DevExpress.Charts.v18.2.Core"
"DevExpress.Charts.Core","18.2.4","DevExpress.Charts.v18.2.Core"
