#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","Framework"
"DevExpress.Win.Dashboard.es","18.2.6","DevExpress.Dashboard.v18.2.Win.resources.dll","es"
"DevExpress.Win.Dashboard.de","18.2.6","DevExpress.Dashboard.v18.2.Win.resources.dll","de"
"DevExpress.Win.Dashboard","18.2.6","DevExpress.Dashboard.v18.2.Win.dll","net452"
"DevExpress.Win.de","18.2.6","DevExpress.XtraBars.v18.2.resources.dll","de"
"DevExpress.Win.Dashboard.ru","18.2.6","DevExpress.Dashboard.v18.2.Win.resources.dll","ru"
"DevExpress.Win.Dashboard.ja","18.2.6","DevExpress.Dashboard.v18.2.Win.resources.dll","ja"
"DevExpress.Win.Charts.de","18.2.6","DevExpress.XtraCharts.v18.2.Wizard.resources.dll","de"
"DevExpress.Win.Charts","18.2.6","DevExpress.XtraCharts.v18.2.Wizard.dll","net452"
"DevExpress.Win.Charts","18.2.6","DevExpress.XtraCharts.v18.2.UI.dll","net452"
"DevExpress.Win.Charts.ru","18.2.6","DevExpress.XtraCharts.v18.2.Wizard.resources.dll","ru"
"DevExpress.Win.Charts.ja","18.2.6","DevExpress.XtraCharts.v18.2.Wizard.resources.dll","ja"
"DevExpress.Win.Charts.es","18.2.6","DevExpress.XtraCharts.v18.2.Wizard.resources.dll","es"
"DevExpress.Win.de","18.2.6","DevExpress.XtraEditors.v18.2.resources.dll","de"
"DevExpress.Win.Diagram","18.2.6","DevExpress.XtraDiagram.v18.2.dll","net452"
"DevExpress.Win.de","18.2.6","DevExpress.XtraWizard.v18.2.resources.dll","de"
"DevExpress.Win.de","18.2.6","DevExpress.XtraVerticalGrid.v18.2.resources.dll","de"
"DevExpress.Win.Dialogs.Core.de","18.2.6","DevExpress.Dialogs.v18.2.Core.resources.dll","de"
"DevExpress.Win.Dialogs.Core","18.2.6","DevExpress.Dialogs.v18.2.Core.dll","net452"
"DevExpress.Win.Dialogs","18.2.6","DevExpress.XtraDialogs.v18.2.dll","net452"
"DevExpress.Win.de","18.2.6","DevExpress.XtraNavBar.v18.2.resources.dll","de"
"DevExpress.Win.de","18.2.6","DevExpress.XtraLayout.v18.2.resources.dll","de"
"DevExpress.Win.de","18.2.6","DevExpress.XtraGrid.v18.2.resources.dll","de"
"DevExpress.Win.de","18.2.6","DevExpress.XtraTreeList.v18.2.resources.dll","de"
"DevExpress.Win.de","18.2.6","DevExpress.XtraPrinting.v18.2.resources.dll","de"
"DevExpress.Win.de","18.2.6","DevExpress.XtraPivotGrid.v18.2.resources.dll","de"
"DevExpress.Web.Scheduler.ja","18.2.6","DevExpress.Web.ASPxScheduler.v18.2.resources.dll","ja"
"DevExpress.Web.Scheduler.es","18.2.6","DevExpress.Web.ASPxScheduler.v18.2.resources.dll","es"
"DevExpress.Web.Scheduler.de","18.2.6","DevExpress.Web.ASPxScheduler.v18.2.resources.dll","de"
"DevExpress.Web.Visualization","18.2.6","DevExpress.Web.ASPxGauges.v18.2.dll","net452"
