"Package","Version","Assembly","DotNetFramework"
"DevExpress.AspNetCore.Core","18.2.8.0","DevExpress.AspNetCore.Core.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Bootstrap.Render","18.2.8.0","DevExpress.AspNetCore.Bootstrap.Render.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Bootstrap","18.2.8.0","DevExpress.AspNetCore.Bootstrap.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Common","18.2.8.0","DevExpress.AspNetCore.Common.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Core.de","18.2.8.0","DevExpress.AspNetCore.Core.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Core.es","18.2.8.0","DevExpress.AspNetCore.Core.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Scheduler.Core.de","18.2.8.0","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Core.ru","18.2.8.0","DevExpress.AspNetCore.Core.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Charts","18.2.8.0","DevExpress.XtraCharts.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Charts","18.2.8.0","DevExpress.XtraCharts.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Dashboard","18.2.8.0","DevExpress.Dashboard.v18.2.AspNetCore.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Resources","18.2.8.0","DevExpress.AspNetCore.Resources.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.DemoData","18.2.8.0","DevExpress.AspNetCore.DemoData.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Scheduler.Core","18.2.8.0","DevExpress.AspNetCore.Scheduler.Core.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Core.ja","18.2.8.0","DevExpress.AspNetCore.Core.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Reporting","18.2.8.0","DevExpress.AspNetCore.Reporting.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Scheduler.Core.es","18.2.8.0","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Scheduler.Core.ja","18.2.8.0","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Scheduler.Core.ru","18.2.8.0","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Charts.Core","18.2.8.0","DevExpress.Charts.v18.2.Core.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Charts.Core","18.2.8.0","DevExpress.Charts.v18.2.Core.dll",".NETStandard,Version=v2.0"
"DevExpress.Charts.de","18.2.8.0","DevExpress.XtraCharts.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Charts.de","18.2.8.0","DevExpress.XtraCharts.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Charts.es","18.2.8.0","DevExpress.XtraCharts.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Charts.es","18.2.8.0","DevExpress.XtraCharts.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.CodeParser","18.2.8.0","DevExpress.CodeParser.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.CodeParser","18.2.8.0","DevExpress.CodeParser.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.Charts.ru","18.2.8.0","DevExpress.XtraCharts.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Charts.ru","18.2.8.0","DevExpress.XtraCharts.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Charts.ja","18.2.8.0","DevExpress.XtraCharts.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Charts.ja","18.2.8.0","DevExpress.XtraCharts.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Dashboard.Core.ru","18.2.8.0","DevExpress.Dashboard.v18.2.Core.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Dashboard.Core.ru","18.2.8.0","DevExpress.Dashboard.v18.2.Core.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Dashboard.Core.de","18.2.8.0","DevExpress.Dashboard.v18.2.Core.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Dashboard.Core.de","18.2.8.0","DevExpress.Dashboard.v18.2.Core.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Dashboard.Core","18.2.8.0","DevExpress.Dashboard.v18.2.Core.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Dashboard.Core","18.2.8.0","DevExpress.Dashboard.v18.2.Core.dll",".NETStandard,Version=v2.0"
"DevExpress.Data.es","18.2.8.0","DevExpress.Data.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Data.es","18.2.8.0","DevExpress.Data.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Data","18.2.8.0","DevExpress.Data.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Data","18.2.8.0","DevExpress.Data.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.Dashboard.Core.es","18.2.8.0","DevExpress.Dashboard.v18.2.Core.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Dashboard.Core.es","18.2.8.0","DevExpress.Dashboard.v18.2.Core.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Data.de","18.2.8.0","DevExpress.Data.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Data.de","18.2.8.0","DevExpress.Data.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Data.ja","18.2.8.0","DevExpress.Data.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Data.ja","18.2.8.0","DevExpress.Data.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Dashboard.Core.ja","18.2.8.0","DevExpress.Dashboard.v18.2.Core.resources.dll",".NETFramework,Version=v4.5.2"
